,title,month,year,Polarity,Subjectivity
60,EMotorad Launches Limited Edition E-bike With Prabhas’ Movie Kalki,Jun,2024,-0.07142857142857142,0.14285714285714285
61,Allianz Partners India Receives Patent Grant For Two-Wheeler Mobile Charger,Jun,2024,0.0,0.0
62,Petah Tikva EV Start-up to Open India Factory,Jun,2024,0.0,0.5
63,"Yamaha’s Unique Electric Scooter Set to Hit India, Posing a Challenge to RX100",Jun,2024,0.375,1.0
64,Mahindra To Start Manufacturing EV Batteries In India,Jun,2024,0.0,0.0
65,"Nexon.ev, Punch.ev Score 5-stars in Bharat-NCAP Safety Rating",Jun,2024,0.0,0.0
66,BLive Launches EZY EV Rental Program for Last-mile Delivery Partners,Jun,2024,0.0,0.0
67,Zapp EV to Partner with Bounce for India Production,Jun,2024,0.0,0.0
68,Ahmedabad May Mandate EV Charging in New Buildings,Jun,2024,0.13636363636363635,0.45454545454545453
69,"Clean Motion Starts Zbee Manufacturing in Pune, India",Jun,2024,0.3666666666666667,0.7000000000000001
70,Magenta Mobility Deepens Collaboration with Tata Motors Deploys Over 100 units of Tata Ace EV,Jun,2024,0.0,0.0
71,"JBM Auto Inks Pact with MUON India for 2,000 Electric Buses",Jun,2024,0.0,0.0
72,JK Tyre Partners With EKA Mobility To Drive EV Innovation,Jun,2024,0.0,0.0
73,MOL and Volvo Penta’s Electric RoRo Tractor to Transform Port Operations,Jun,2024,0.0,0.0
74,IIT-Jodhpur Develops Special Adaptor to Charge EVs Using Solar Panels,Jun,2024,0.35714285714285715,0.5714285714285714
75,TVS Motor Recalls Select Units of iQube Electric Two-wheeler for Inspection,Jun,2024,0.0,0.0
76,Volvo Car India Surpasses 1000 EV Deliveries on World Environment Day,Jun,2024,0.0,0.0
77,"MG Motor India Has Patented Wuling Binguo EV, Expected to Launch this Year",Jun,2024,-0.1,0.4
78,BGauss RUV350 Electric Scooter Revealed,Jun,2024,0.0,0.0
79,Zepto Partners With Battery Smart To Get Access To 1000 Battery Swapping Centers,Jun,2024,0.21428571428571427,0.6428571428571429
80,NSE Indices Unveils India’s 1st Electric Vehicle Index,Jun,2024,0.0,0.0
81,Jupiter Electric Mobility gets ARAI Nod as Firm Prepares for Production of Battery-operated Light Commercial Vehicle,Jun,2024,0.06666666666666667,0.3666666666666667
82,Ola Electric Logs 49 Per Cent Share In Electric 2-Wheeler Market In May,Jun,2024,0.0,0.0
83,Lectrix EV to Supply 500 EVs to Jumppers’ Green Fleet for Last-mile Delivery Service,May,2024,-0.2,0.3
84,Incharz to Set Up EV Chargers Network Across India for 3ECO Fleet,May,2024,0.0,0.0
85,MG Motor India And HPCL Unite To Strengthen India’s EV Charging Infrastructure,May,2024,0.0,0.0
86,NSE Sparks EV Investment With First Electric Vehicle Index,May,2024,0.25,0.3333333333333333
87,"Bounce Infinity E1X Launched At Rs 55,000 With Battery Swapping Technology",May,2024,0.0,0.0
88,Oben Electric to Set up 50 New Showrooms and Service Centres in 12 Indian cities,May,2024,0.13636363636363635,0.45454545454545453
89,"BluSmart Plans to Raise Over $300 mn in Three Years; Expand Fleet to 25,000 EVs",May,2024,0.0,0.0
90,"EV Startup Zypp Electric Raises $15 Million from ENEOS, 9unicorns, IAN Fund, Others",May,2024,0.0,0.0
91,Hyundai Motor India Launches First 180 kW DC Fast EV Charging Station in Chennai,May,2024,0.225,0.4666666666666667
92,Indian Startup Raptee Energy is Preparing to Unveil the New E-Moto,May,2024,0.13636363636363635,0.45454545454545453
93,EVR Motors Inaugurates Electric Motor Coil Factory in India,May,2024,0.0,0.0
94,MG India to deliver 3000 EVs for Vertelo fleet,May,2024,0.0,0.0
95,PURE EV and PDSL UK Partner to Launch Solid-state Battery Electric Scooter – New Joint Venture Will Attract Investments to the Tune of £30 – 40 million,May,2024,0.17532467532467533,0.4772727272727273
96,GT Force to Launch Advanced Electric Motorcycle Targeted at Urban and Rural Riders,May,2024,0.13333333333333333,0.19999999999999998
97,"Electric 3-wheeler Market worth $1.5 billion by 2030 Globally, at a CAGR of 2.2%",May,2024,0.15,0.05
98,Govt to Hold 2nd Meet With Stakeholders to Issue Draft Guidelines for New EV Policy,May,2024,0.06818181818181818,0.22727272727272727
99,Exicom Launches India’s Fastest DC Charger,May,2024,0.0,0.0
100,Over 4 Million Plugin Vehicles Sold Globally in 2024,May,2024,0.0,0.0
101,ARAI Conducts First-ever Electric 2-wheeler Crash Tests in India,May,2024,0.0,0.0
102,Mahindra & Mahindra Commits ₹120 Billion to EV Expansion by FY 2027,May,2024,0.0,0.0
103,"Ampere Magnus Electric Scooter Prices Slashed; Range Now Starts At 84,900",May,2024,0.0,0.0
104,Farasis Energy Signs Strategic Partnership Agreement with Indian Customer Ingar at INAPA 2024,May,2024,0.0,0.0
105,Fujiyama EV Unveils Thunder Plus E-scooter,May,2024,0.0,0.0
106,Govt Considers Offering Incentives for Lithium Processing,May,2024,0.0,0.0
107,TVS Motor Launches New Variants Of iQube Electric Scooter,May,2024,0.13636363636363635,0.45454545454545453
108,Tata Power Drives Karnataka’s Green Revolution With Over 220 EV Charging Points,May,2024,-0.2,0.3
109,Relux Electric Gets INR 250 Crore in Project Funding,May,2024,0.0,0.0
110,Murugappa Group’s TIVOLT EVs To Launch New e-SCV Under Montra Electric,May,2024,0.13636363636363635,0.45454545454545453
111,"Bajaj Will Provide Over 1,000 Electric Three-wheelers for Last-mile Delivery to Flipkart Over the Next Two Years",May,2024,0.0,0.0
112,"iVoomi JeetX ZE Electric Scooter Launched. Priced at Rs 80,000, offers 170 km Range",May,2024,0.1,0.0
