,Year,Maker,Total,MarketShare,Month,Sales
137,2021,Jitendra,3875,2%,Jun,43.0
138,2021,Others,24865,10%,Jun,567.0
139,2022,Ola,152779,21%,Jun,5898.0
140,2022,Okinawa,95939,13%,Jun,7221.0
141,2022,Hero,89874,12%,Jun,6837.0
142,2022,Ampere,87392,12%,Jun,6920.0
143,2022,Tvs,82109,11%,Jun,1983.0
144,2022,Ather,76939,11%,Jun,3830.0
145,2022,Bajaj,32805,5%,Jun,1824.0
146,2022,Okaya,13175,2%,Jun,760.0
147,2022,Revolt,12932,2%,Jun,2424.0
148,2022,Pure,11556,2%,Jun,1125.0
149,2022,Being,11018,2%,Jun,1005.0
150,2022,Jitendra,8563,1%,Jun,568.0
151,2022,Others,52973,7%,Jun,3659.0
152,2023,Ola,241836,33%,Jun,17688.0
153,2023,Tvs,141801,20%,Jun,7867.0
154,2023,Ather,82527,11%,Jun,4603.0
155,2023,Bajaj,77286,11%,Jun,3011.0
156,2023,Ampere,49301,7%,Jun,3043.0
157,2023,Okinawa,19532,3%,Jun,2620.0
158,2023,Hero,11447,2%,Jun,1137.0
159,2023,Okaya,12146,2%,Jun,424.0
160,2023,Bgauss,10776,1%,Jun,191.0
161,2023,Battre,4047,1%,Jun,83.0
162,2023,Kinetic,5108,1%,Jun,203.0
163,2023,Revolt,6269,1%,Jun,714.0
164,2023,Others,62060,9%,Jun,4521.0
165,2019,Hero,7865,29%,Jul,260.0
166,2019,Okinawa,10544,39%,Jul,862.0
167,2019,Ather,2905,11%,Jul,300.0
168,2019,Ampere,2518,9%,Jul,35.0
169,2019,Revolt,1063,4%,Jul,0.0
170,2019,Others,1939,7%,Jul,111.0
171,2020,Hero,15956,36%,Jul,421.0
172,2020,Okinawa,7129,16%,Jul,411.0
173,2020,Ampere,6095,14%,Jul,204.0
174,2020,Ather,4401,10%,Jul,144.0
175,2020,Revolt,1793,4%,Jul,125.0
176,2020,Bajaj,1470,3%,Jul,32.0
177,2020,Pure,2080,5%,Jul,24.0
178,2020,Being,1151,3%,Jul,41.0
179,2020,Jitendra,639,1%,Jul,15.0
180,2020,Tvs,838,2%,Jul,26.0
181,2020,Others,3251,7%,Jul,45.0
182,2021,Hero,69235,27%,Jul,4572.0
183,2021,Okinawa,47926,19%,Jul,2634.0
184,2021,Ampere,25516,10%,Jul,663.0
185,2021,Ather,19981,8%,Jul,1799.0
186,2021,Pure,14969,6%,Jul,1417.0
187,2021,Ola,14405,6%,Jul,0.0
188,2021,Tvs,9740,4%,Jul,648.0
189,2021,Revolt,7641,3%,Jul,321.0
190,2021,Bajaj,7114,3%,Jul,730.0
191,2021,Being,7374,3%,Jul,494.0
192,2021,Jitendra,3875,2%,Jul,212.0
193,2021,Others,24865,10%,Jul,1202.0
194,2022,Ola,152779,21%,Jul,3865.0
195,2022,Okinawa,95939,13%,Jul,8396.0
196,2022,Hero,89874,12%,Jul,9306.0
197,2022,Ampere,87392,12%,Jul,6813.0
198,2022,Tvs,82109,11%,Jul,4349.0
199,2022,Ather,76939,11%,Jul,1289.0
200,2022,Bajaj,32805,5%,Jul,2483.0
201,2022,Okaya,13175,2%,Jul,1076.0
202,2022,Revolt,12932,2%,Jul,2319.0
203,2022,Pure,11556,2%,Jul,1000.0
204,2022,Being,11018,2%,Jul,1245.0
205,2022,Jitendra,8563,1%,Jul,880.0
206,2022,Others,52973,7%,Jul,3563.0
207,2023,Ola,241836,33%,Jul,19403.0
208,2023,Tvs,141801,20%,Jul,10398.0
209,2023,Ather,82527,11%,Jul,6685.0
210,2023,Bajaj,77286,11%,Jul,4130.0
211,2023,Ampere,49301,7%,Jul,3573.0
212,2023,Okinawa,19532,3%,Jul,2265.0
213,2023,Hero,11447,2%,Jul,779.0
214,2023,Okaya,12146,2%,Jul,784.0
215,2023,Bgauss,10776,1%,Jul,661.0
216,2023,Battre,4047,1%,Jul,135.0
217,2023,Kinetic,5108,1%,Jul,232.0
218,2023,Revolt,6269,1%,Jul,484.0
219,2023,Others,62060,9%,Jul,5082.0
220,2019,Hero,7865,29%,Aug,249.0
221,2019,Okinawa,10544,39%,Aug,882.0
222,2019,Ather,2905,11%,Aug,183.0
223,2019,Ampere,2518,9%,Aug,57.0
224,2019,Revolt,1063,4%,Aug,0.0
225,2019,Others,1939,7%,Aug,136.0
226,2020,Hero,15956,36%,Aug,581.0
227,2020,Okinawa,7129,16%,Aug,416.0
