,Year,Maker,Total,MarketShare,Month,Sales
570,2021,Ather,19981,8%,Feb,2233.0
571,2021,Pure,14969,6%,Feb,1428.0
572,2021,Ola,14405,6%,Feb,3912.0
573,2021,Tvs,9740,4%,Feb,1560.0
574,2021,Revolt,7641,3%,Feb,1128.0
575,2021,Bajaj,7114,3%,Feb,1372.0
576,2021,Being,7374,3%,Feb,1149.0
577,2021,Jitendra,3875,2%,Feb,583.0
578,2021,Others,24865,10%,Feb,4034.0
579,2022,Ola,152779,21%,Feb,17772.0
580,2022,Okinawa,95939,13%,Feb,3849.0
581,2022,Hero,89874,12%,Feb,5864.0
582,2022,Ampere,87392,12%,Feb,6004.0
583,2022,Tvs,82109,11%,Feb,12674.0
584,2022,Ather,76939,11%,Feb,10071.0
585,2022,Bajaj,32805,5%,Feb,2538.0
586,2022,Okaya,13175,2%,Feb,1232.0
587,2022,Revolt,12932,2%,Feb,79.0
588,2022,Pure,11556,2%,Feb,488.0
589,2022,Being,11018,2%,Feb,337.0
590,2022,Jitendra,8563,1%,Feb,308.0
591,2022,Others,52973,7%,Feb,4875.0
592,2023,Ola,241836,33%,Feb,0.0
593,2023,Tvs,141801,20%,Feb,0.0
594,2023,Ather,82527,11%,Feb,0.0
595,2023,Bajaj,77286,11%,Feb,0.0
596,2023,Ampere,49301,7%,Feb,0.0
597,2023,Okinawa,19532,3%,Feb,0.0
598,2023,Hero,11447,2%,Feb,0.0
599,2023,Okaya,12146,2%,Feb,0.0
600,2023,Bgauss,10776,1%,Feb,0.0
601,2023,Battre,4047,1%,Feb,0.0
602,2023,Kinetic,5108,1%,Feb,0.0
603,2023,Revolt,6269,1%,Feb,0.0
604,2023,Others,62060,9%,Feb,0.0
605,2019,Hero,7865,29%,Mar,1428.0
606,2019,Okinawa,10544,39%,Mar,598.0
607,2019,Ather,2905,11%,Mar,294.0
608,2019,Ampere,2518,9%,Mar,153.0
609,2019,Revolt,1063,4%,Mar,114.0
610,2019,Others,1939,7%,Mar,296.0
611,2020,Hero,15956,36%,Mar,5712.0
612,2020,Okinawa,7129,16%,Mar,1547.0
613,2020,Ampere,6095,14%,Mar,957.0
614,2020,Ather,4401,10%,Mar,1064.0
615,2020,Revolt,1793,4%,Mar,53.0
616,2020,Bajaj,1470,3%,Mar,146.0
617,2020,Pure,2080,5%,Mar,679.0
618,2020,Being,1151,3%,Mar,171.0
619,2020,Jitendra,639,1%,Mar,101.0
620,2020,Tvs,838,2%,Mar,267.0
621,2020,Others,3251,7%,Mar,1273.0
622,2021,Hero,69235,27%,Mar,13562.0
623,2021,Okinawa,47926,19%,Mar,8588.0
624,2021,Ampere,25516,10%,Mar,6668.0
625,2021,Ather,19981,8%,Mar,2233.0
626,2021,Pure,14969,6%,Mar,2066.0
627,2021,Ola,14405,6%,Mar,9146.0
628,2021,Tvs,9740,4%,Mar,2392.0
629,2021,Revolt,7641,3%,Mar,1413.0
630,2021,Bajaj,7114,3%,Mar,855.0
631,2021,Being,7374,3%,Mar,1013.0
632,2021,Jitendra,3875,2%,Mar,1052.0
633,2021,Others,24865,10%,Mar,5332.0
634,2022,Ola,152779,21%,Mar,21427.0
635,2022,Okinawa,95939,13%,Mar,4510.0
636,2022,Hero,89874,12%,Mar,6662.0
637,2022,Ampere,87392,12%,Mar,9738.0
638,2022,Tvs,82109,11%,Mar,16899.0
639,2022,Ather,76939,11%,Mar,12183.0
640,2022,Bajaj,32805,5%,Mar,4553.0
641,2022,Okaya,13175,2%,Mar,1765.0
642,2022,Revolt,12932,2%,Mar,1140.0
643,2022,Pure,11556,2%,Mar,584.0
644,2022,Being,11018,2%,Mar,446.0
645,2022,Jitendra,8563,1%,Mar,350.0
646,2022,Others,52973,7%,Mar,5090.0
647,2023,Ola,241836,33%,Mar,0.0
648,2023,Tvs,141801,20%,Mar,0.0
649,2023,Ather,82527,11%,Mar,0.0
650,2023,Bajaj,77286,11%,Mar,0.0
651,2023,Ampere,49301,7%,Mar,0.0
652,2023,Okinawa,19532,3%,Mar,0.0
653,2023,Hero,11447,2%,Mar,0.0
654,2023,Okaya,12146,2%,Mar,0.0
655,2023,Bgauss,10776,1%,Mar,0.0
656,2023,Battre,4047,1%,Mar,0.0
657,2023,Kinetic,5108,1%,Mar,0.0
658,2023,Revolt,6269,1%,Mar,0.0
659,2023,Others,62060,9%,Mar,0.0
